いちだい	一代	Lifetime	4	vocabulary	いちだい, 一: いち: on, 代: だい: on
きじ	生地	Material	8	vocabulary	きじ, 生: き: kun, 地: じ: on
たいよう	太陽	Sun	12	vocabulary	たいよう, 太: たい: on, 陽: よう: on
おくる	送る	To Send	9	vocabulary	おくる, 送: おく: kun
どう	道	Road	8	kanji	どう:on, みち:kun
ためす	試す	To Attempt	11	vocabulary	ためす, 試: ため: kun
ほうこう	方向	Direction	6	vocabulary	ほうこう, 方: ほう: on, 向: こう: on
へんじ	返事	Reply	9	vocabulary	へんじ, 返: へん: on, 事: じ: on
じょし	女子	Girl	2	vocabulary	じょし, 女: じょ: on, 子: し: on
だいじ	大事	Important	9	vocabulary	だいじ, 大: だい: on, 事: じ: on
しよう	使用	Use	9	vocabulary	しよう, 使: し: on, 用: よう: on
つかう	使う	To Use	9	vocabulary	つかう, 使: つか: kun
にがい	苦い	Bitter Tasting	9	vocabulary	にがい, 苦: にが: kun
ものがたり	物語	Tale	11	vocabulary	ものがたり, 物: もの: kun, 語: がた: kun
のりば	乗り場	Bus Stop	11	vocabulary	のりば, 乗: の: kun, 場: ば: kun
いったい	一体	The Heck	7	vocabulary	いったい, 一: いっ: on, 体: たい: on
ちかみち	近道	Shortcut	10	vocabulary	ちかみち, 近: ちか: kun, 道: みち: kun
たもつ	保つ	To Preserve	9	vocabulary	たもつ, 保: たも: kun
しんか	進化	Evolution	10	vocabulary	しんか, 進: しん: on, 化: か: on
くるしむ	苦しむ	To Suffer	11	vocabulary	くるしむ, 苦: く: on
かわ	皮	Skin	5	vocabulary	かわ, 皮: かわ: kun
くばる	配る	To Distribute	10	vocabulary	くばる, 配: くば: kun
あいて	相手	Partner	9	vocabulary	あいて, 相: あい: kun, 手: て: kun
こう	考	Think	5	kanji	こう:on, かんが:kun
つち	土	Soil	2	vocabulary	つち, 土: つち: kun
つく	付く	To Be Attached	9	vocabulary	つく, 付: つ: kun
つう	通	Pass Through	7	kanji	つう:on, とお:kun, かよ:kun
きよう	器用	Dextrous	13	vocabulary	きよう, 器: き: on, 用: よう: on
げん	言	Say	5	kanji	げん:on, ごん:on, い:kun, こと:kun
しゅう	終	End	10	kanji	しゅう:on, おわ:kun, お:kun
いき	息	Breath	12	vocabulary	いき, 息: いき: kun
Unavailable	元	Origin	3	radical	Unavailable
ちゅうもん	注文	Order	11	vocabulary	ちゅうもん, 注: ちゅう: on, 文: もん: on
みつける	見付ける	To Find	9	vocabulary	みつける, 見: み: kun, 付: つ: kun
ねんじ	年次	Annual	6	vocabulary	ねんじ, 年: ねん: on, 次: じ: on
とう	投	Throw	8	kanji	とう:on, な:kun
いがい	以外	Other Than	7	vocabulary	いがい, 以: い: on, 外: がい: on
きょういく	教育	Education	11	vocabulary	きょういく, 教: きょう: on, 育: いく: on
あらわす	表す	To Express	9	vocabulary	あらわす, 表: あらわ: kun
ほか	他	Other	4	vocabulary	ほか, 他: ほか: kun
しゅっけつ	出血	Bleeding	6	vocabulary	しゅっけつ, 出: しゅっ: on, 血: けつ: on
つごう	都合	At Your Convenience	12	vocabulary	つごう, 都: つ: on, 合: ごう: on
こうつう	交通	Traffic	7	vocabulary	こうつう, 交: こう: on, 通: つう: on
あらた	新た	New	11	vocabulary	あらた, 新: あら: kun
ばける	化ける	To Transform	8	vocabulary	ばける, 化: ば: kun
ほうだい	〜放題	As Much As You Want	13	vocabulary	ほうだい, 放: ほう: on, 題: だい: on
しかえし	仕返し	Getting Even	11	vocabulary	しかえし, 仕: し: on, 返: かえ: kun
よてい	予定	Plan	9	vocabulary	よてい, 予: よ: on, 定: てい: on
ほんもの	本物	Real Thing	11	vocabulary	ほんもの, 本: ほん: on, 物: もの: kun
べん	便	Convenience	11	kanji	べん:on, びん:on, たよ:kun
いる	要る	To Need	9	vocabulary	いる, 要: い: kun
とざん	登山	Mountain Climbing	12	vocabulary	とざん, 登: と: on, 山: ざん: on
そう	走	Run	5	kanji	そう:on, はし:kun
Unavailable	自	Self	5	radical	Unavailable
なん	南	South	6	kanji	なん:on, みなみ:kun
し	使	Use	9	kanji	し:on, つか:kun
ろ	路	Road	10	kanji	ろ:on, じ:kun, みち:kun
み	味	Flavor	11	kanji	み:on, あじ:kun
どうぶつ	動物	Animal	12	vocabulary	どうぶつ, 動: どう: on, 物: ぶつ: on
Unavailable	史	History	9	radical	Unavailable
やっつ	八つ	Eight Things	1	vocabulary	やっつ, 八: やっ: kun
おとな	大人	Adult	1	vocabulary	おとな: exception
じぶん	自分	Oneself	5	vocabulary	じぶん, 自: じ: on, 分: ぶん: on
Unavailable	永	Eternity	9	radical	Unavailable
Unavailable	spikes	Spikes	4	radical	Unavailable
かず	数	Number	8	vocabulary	かず, 数: かず: kun
たからくじ	宝くじ	Lottery	6	vocabulary	たからくじ, 宝: たから: kun
そうだん	相談	Consultation	9	vocabulary	そうだん, 相: そう: on, 談: だん: on
うしなう	失う	To Lose	7	vocabulary	うしなう, 失: うしな: kun
ねんじゅう	年中	Year Round	4	vocabulary	ねんじゅう, 年: ねん: on, 中: じゅう: on
よう	用	Task	3	vocabulary	よう, 用: よう: on
さきまわり	先回り	Arriving Ahead	7	vocabulary	さきまわり, 先: さき: kun, 回: まわ: kun
たすける	助ける	To Help	8	vocabulary	たすける, 助: たす: kun
たにん	他人	Another Person	4	vocabulary	たにん, 他: た: on, 人: にん: on
ち	知	Know	6	kanji	ち:on, し:kun
しょうにん	商人	Merchant	12	vocabulary	しょうにん, 商: しょう: on, 人: にん: on
きをつけて	気を付けて	Be Careful	9	vocabulary	きをつけて, 気: き: on, 付: つ: kun
かっき	活気	Energy	6	vocabulary	かっき, 活: かっ: on, 気: き: on
ふりょう	不良	Bad	11	vocabulary	ふりょう, 不: ふ: on, 良: りょう: on
しゅつ	出	Exit	2	kanji	しゅつ:on, で:kun, だ:kun
さんすう	算数	Arithmetic	10	vocabulary	さんすう, 算: さん: on, 数: すう: on
けつ	欠	Lack	7	kanji	けつ:on, か:kun
じんせい	人生	One's Life	3	vocabulary	じんせい, 人: じん: on, 生: せい: on
いぜん	以前	Previously	7	vocabulary	いぜん, 以: い: on, 前: ぜん: on
きょう	教	Teach	7	kanji	きょう:on, おし:kun, おそ:kun
まず	先ず	First Of All	4	vocabulary	まず, 先: まず: kun
みみうち	耳打ち	Whisper In Ear	6	vocabulary	みみうち, 耳: みみ: kun, 打: う: kun
ちょうし	調子	Condition	10	vocabulary	ちょうし, 調: ちょう: on, 子: し: on
てんそう	転送	Transfer	10	vocabulary	てんそう, 転: てん: on, 送: そう: on
あたりまえ	当たり前	Natural	8	vocabulary	あたりまえ, 当: あ: kun, 前: まえ: kun
しつ	失	Fault	7	kanji	しつ:on, うしな:kun
うつる	写る	To Be Photographed	4	vocabulary	うつる, 写: うつ: kun
けっしん	決心	Determination	8	vocabulary	けっしん, 決: けっ: on, 心: しん: on
かぞえる	数える	To Count	8	vocabulary	かぞえる, 数: かぞ: kun
みょうじ	名字	Surname	4	vocabulary	みょうじ, 名: みょう: on, 字: じ: on
ゆう	由	Reason	7	kanji	ゆう:on, よし:kun, よ:kun
きょうどう	共同	Cooperation	11	vocabulary	きょうどう, 共: きょう: on, 同: どう: on
きまる	決まる	To Be Decided	10	vocabulary	きまる, 決: き: kun
ちょっこう	直行	Nonstop	6	vocabulary	ちょっこう, 直: ちょっ: on, 行: こう: on
ちゅうし	中止	Suspension	3	vocabulary	ちゅうし, 中: ちゅう: on, 止: し: on
ぶしゅ	部首	Radical	9	vocabulary	ぶしゅ, 部: ぶ: on, 首: しゅ: on
てん	転	Revolve	10	kanji	てん:on, ころ:kun
ど	度	Degrees	9	kanji	ど:on, たく:on, たび:kun
しゅうりょう	終了	End	10	vocabulary	しゅうりょう, 終: しゅう: on, 了: りょう: on
とおり	通り	Avenue	9	vocabulary	とおり, 通: とお: kun
にがて	苦手	Hard To Deal With	11	vocabulary	にがて, 苦: にが: kun, 手: て: kun
しょう	勝	Win	9	kanji	しょう:on, か:kun
ばあい	場合	Case	14	vocabulary	ばあい, 場: ば: kun, 合: あ: kun
みあたる	見当たる	To Be Found	7	vocabulary	みあたる, 見: み: kun, 当: あ: kun
こころみる	試みる	To Try	9	vocabulary	こころみる, 試: こころ: kun
まける	負ける	To Lose	9	vocabulary	まける, 負: ま: kun
たいりょく	体力	Physical Strength	5	vocabulary	たいりょく, 体: たい: on, 力: りょく: on
がいこう	外交	Diplomacy	5	vocabulary	がいこう, 外: がい: on, 交: こう: on
かく	角	Angle	5	kanji	かく:on, かど:kun, つの:kun
あける	開ける	To Open	10	vocabulary	あける, 開: あ: kun
えらぶ	選ぶ	To Choose	13	vocabulary	えらぶ, 選: えら: kun
つく	着く	To Arrive	12	vocabulary	つく, 着: つ: kun
いずみ	泉	Spring	12	vocabulary	いずみ, 泉: いずみ: kun
はなしかた	話し方	Way Of Speaking	12	vocabulary	はなしかた, 話: はな: kun, 方: かた: kun
なる	鳴る	To Ring	12	vocabulary	なる, 鳴: な: kun
うん	運	Luck	12	vocabulary	うん, 運: うん: on
うえる	植える	To Plant	12	vocabulary	うえる, 植: う: kun
いく	育	Nurture	11	kanji	いく:on, そだ:kun, はぐく:kun
い	〜位	Rank	11	vocabulary	い, 位: い: on
べつじん	別人	Different Person	11	vocabulary	べつじん, 別: べつ: on, 人: じん: on
Unavailable	斗	Ladle	6	radical	Unavailable
Unavailable	市	City	6	radical	Unavailable
きょう	京	Capital	6	kanji	きょう:on, みやこ:kun
おかね	お金	Money	5	vocabulary	おかね, 金: かね: kun
かいしゃ	会社	Company	5	vocabulary	かいしゃ, 会: かい: on, 社: しゃ: on
いますぐ	今すぐ	At Once	5	vocabulary	いますぐ, 今: いま: kun
くうしゃ	空車	Open Taxi	5	vocabulary	くうしゃ, 空: くう: on, 車: しゃ: on